151,658,15,,8,"2015-01-29 02:50:09.205226","2015-01-29 02:50:09.205226"
152,659,15,,8,"2015-01-29 02:50:10.162255","2015-01-29 02:50:10.162255"
153,660,15,,8,"2015-01-29 02:50:10.910278","2015-01-29 02:50:10.910278"
154,664,15,,8,"2015-01-29 02:50:12.186317","2015-01-29 02:50:12.186317"
155,665,15,,8,"2015-01-29 02:50:12.968341","2015-01-29 02:50:12.968341"
156,666,15,,8,"2015-01-29 02:50:13.794366","2015-01-29 02:50:13.794366"
157,681,10,,5,"2015-01-29 02:50:20.342566","2015-01-29 02:50:20.342566"
158,686,10,,5,"2015-01-29 02:50:22.158621","2015-01-29 02:50:22.158621"
159,686,14,,3,"2015-01-29 02:50:22.308626","2015-01-29 02:50:22.308626"
160,686,29,,3,"2015-01-29 02:50:22.476631","2015-04-13 20:58:18.398990"
161,688,14,,3,"2015-01-29 02:50:23.655667","2015-01-29 02:50:23.655667"
162,688,29,,3,"2015-01-29 02:50:23.830672","2015-04-13 20:58:18.552994"
163,691,10,,5,"2015-01-29 02:50:25.460722","2015-01-29 02:50:25.460722"
164,696,10,,5,"2015-01-29 02:50:27.110772","2015-01-29 02:50:27.110772"
165,696,14,,3,"2015-01-29 02:50:27.297778","2015-01-29 02:50:27.297778"
166,696,29,,3,"2015-01-29 02:50:27.462783","2015-04-13 20:58:18.684997"
167,698,14,,3,"2015-01-29 02:50:28.453813","2015-01-29 02:50:28.453813"
168,698,29,,3,"2015-01-29 02:50:28.606818","2015-04-13 20:58:18.860001"
169,703,8,,5,"2015-01-29 02:50:30.324870","2015-01-29 02:50:30.324870"
170,705,8,,5,"2015-01-29 02:50:31.292900","2015-01-29 02:50:31.292900"
171,705,14,,5,"2015-01-29 02:50:31.457905","2015-01-29 02:50:31.457905"
172,705,29,,5,"2015-01-29 02:50:31.611910","2015-04-13 20:58:35.270405"
173,706,8,,5,"2015-01-29 02:50:32.668942","2015-01-29 02:50:32.668942"
174,706,14,,5,"2015-01-29 02:50:32.821946","2015-01-29 02:50:32.821946"
175,706,29,,5,"2015-01-29 02:50:32.987951","2015-04-13 20:58:35.427409"
176,709,8,,5,"2015-01-29 02:50:34.393994","2015-01-29 02:50:34.393994"
177,711,8,,5,"2015-01-29 02:50:35.410025","2015-01-29 02:50:35.410025"
178,711,14,,5,"2015-01-29 02:50:35.551030","2015-01-29 02:50:35.551030"
179,711,29,,5,"2015-01-29 02:50:35.695034","2015-04-13 20:58:35.527411"
180,712,8,,5,"2015-01-29 02:50:36.675064","2015-01-29 02:50:36.675064"
